epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,48.7191,1.21257,0.65314,1.04139,0.98578,1,0.98808,0.64651,1.2025,0.55708,1.0051,0.000990365,0.000990365,0.000990365
43,49.67,1.18929,0.63655,1.04639,0.98455,1,0.98769,0.66213,1.15925,0.53542,0.99881,0.000973861,0.000973861,0.000973861
44,50.5808,1.11009,0.61088,1.01676,0.98455,1,0.98769,0.66213,1.15925,0.53542,0.99881,0.000957358,0.000957358,0.000957358
45,51.5112,1.07321,0.58093,1.03267,0.9775,1,0.98885,0.66101,1.10619,0.56412,1.00564,0.000940855,0.000940855,0.000940855
46,52.5583,1.15753,0.63814,1.05048,0.9775,1,0.98885,0.66101,1.10619,0.56412,1.00564,0.000924352,0.000924352,0.000924352
47,53.4519,1.11786,0.62174,1.057,0.96909,1,0.991,0.69166,1.11407,0.56731,1.01089,0.000907848,0.000907848,0.000907848
48,54.4408,1.16498,0.62257,1.07146,0.96909,1,0.991,0.69166,1.11407,0.56731,1.01089,0.000891345,0.000891345,0.000891345
49,55.4339,1.07693,0.60663,1.02775,0.97534,1,0.99003,0.70035,1.08706,0.52834,0.99402,0.000874842,0.000874842,0.000874842
50,56.4054,1.07723,0.57137,1.02973,0.97534,1,0.99003,0.70035,1.08706,0.52834,0.99402,0.000858338,0.000858338,0.000858338
51,57.4259,1.06682,0.57948,1.02031,0.98545,1,0.98846,0.66092,1.13938,0.51964,0.9883,0.000841835,0.000841835,0.000841835
52,58.3149,1.06591,0.55384,0.99703,0.98545,1,0.98846,0.66092,1.13938,0.51964,0.9883,0.000825332,0.000825332,0.000825332
53,59.2467,1.03538,0.56375,1.00126,0.98658,0.99895,0.9875,0.65792,1.14822,0.51364,0.98851,0.000808828,0.000808828,0.000808828
54,60.2152,1.15867,0.59867,1.04479,0.98658,0.99895,0.9875,0.65792,1.14822,0.51364,0.98851,0.000792325,0.000792325,0.000792325
55,61.1904,1.10139,0.58339,1.02011,0.98366,1,0.9875,0.69346,1.06596,0.49547,0.98915,0.000775822,0.000775822,0.000775822
56,62.0635,1.00093,0.52224,0.98618,0.98366,1,0.9875,0.69346,1.06596,0.49547,0.98915,0.000759318,0.000759318,0.000759318
57,63.0137,1.02363,0.55483,1.009,0.98471,1,0.98865,0.67706,1.07944,0.5319,1.00299,0.000742815,0.000742815,0.000742815
58,63.985,1.07235,0.58364,1.04152,0.98471,1,0.98865,0.67706,1.07944,0.5319,1.00299,0.000726312,0.000726312,0.000726312
59,64.9434,1.06423,0.54782,1.0431,0.9849,1,0.98885,0.67088,1.12207,0.54672,1.01032,0.000709809,0.000709809,0.000709809
60,65.8179,1.04327,0.56415,1.0288,0.9849,1,0.98885,0.67088,1.12207,0.54672,1.01032,0.000693305,0.000693305,0.000693305
61,66.7484,1.07058,0.55899,1.02613,0.98762,1,0.98788,0.65404,1.093,0.4991,0.99833,0.000676802,0.000676802,0.000676802
62,67.6982,1.06014,0.56374,1.00104,0.98762,1,0.98788,0.65404,1.093,0.4991,0.99833,0.000660299,0.000660299,0.000660299
63,68.6671,1.06257,0.56777,1.01607,0.98672,1,0.9875,0.67146,1.05883,0.50151,0.99446,0.000643795,0.000643795,0.000643795
64,69.5839,1.0165,0.53732,1.01059,0.98672,1,0.9875,0.67146,1.05883,0.50151,0.99446,0.000627292,0.000627292,0.000627292
65,70.5217,1.00113,0.50117,0.98787,0.98468,1,0.98788,0.67546,1.0645,0.50103,0.99787,0.000610789,0.000610789,0.000610789
66,71.441,0.98662,0.52834,0.98085,0.98468,1,0.98788,0.67546,1.0645,0.50103,0.99787,0.000594286,0.000594286,0.000594286
67,72.3615,1.01324,0.54887,1.00981,0.98533,1,0.98865,0.68941,1.06713,0.50478,0.99859,0.000577782,0.000577782,0.000577782
68,73.2274,0.97721,0.52977,0.99721,0.98533,1,0.98865,0.68941,1.06713,0.50478,0.99859,0.000561279,0.000561279,0.000561279
69,74.2839,1.03145,0.55302,1.02117,0.98626,1,0.99019,0.68775,1.08354,0.49905,0.98928,0.000544776,0.000544776,0.000544776
70,75.297,1.0373,0.51421,1.00403,0.98626,1,0.99019,0.68775,1.08354,0.49905,0.98928,0.000528272,0.000528272,0.000528272
71,76.2803,1.11374,0.5803,1.0447,0.98702,1,0.99048,0.68883,1.08017,0.5057,0.99271,0.000511769,0.000511769,0.000511769
72,77.2268,1.00798,0.5225,1.00299,0.98702,1,0.99048,0.68883,1.08017,0.5057,0.99271,0.000495266,0.000495266,0.000495266
73,79.9413,1.02048,0.5268,0.98235,0.9872,1,0.99087,0.67856,1.07265,0.50448,1.0037,0.000478762,0.000478762,0.000478762
74,80.9231,1.05889,0.54144,1.03135,0.9872,1,0.99087,0.67856,1.07265,0.50448,1.0037,0.000462259,0.000462259,0.000462259
75,81.9087,1.09771,0.58816,1.05069,0.98775,1,0.99019,0.68295,1.08435,0.49896,1.01146,0.000445756,0.000445756,0.000445756
76,82.8307,0.99161,0.52144,0.98548,0.98775,1,0.99019,0.68295,1.08435,0.49896,1.01146,0.000429253,0.000429253,0.000429253
77,83.7818,0.98005,0.51946,0.9936,0.98699,1,0.98827,0.68427,1.07541,0.48997,1.00292,0.000412749,0.000412749,0.000412749
78,84.7822,1.07881,0.57505,1.04687,0.98699,1,0.98827,0.68427,1.07541,0.48997,1.00292,0.000396246,0.000396246,0.000396246
79,85.7348,1.02368,0.53338,1.01676,0.98624,1,0.98731,0.69243,1.06954,0.49037,0.99338,0.000379743,0.000379743,0.000379743
